text,label,platform
"Pak dokumnt dh nyampe d kntr cabang, tp almt krng jelas. tolong konfirmasi dsni ya pak http://tinyurl.com/Undangan-VIP",1,WhatsApp
"Hi teman2! Save the date ya, ini undangan resepsi aku. Cek lokasi dan waktunya d sini https://s.id/CekResiApk Ditunggu kehadrannya!",1,WhatsApp
"Assalamualaikum wr wb. Mhn maaf mengganggu, ini undangan digital pernikahan kami. Mohon kesediaannya utk hadir. Buka file apk: https://undangan-digital.xyz/nikah",1,WhatsApp
"Jangan lupa bayar tagihan listrik bulan ini ya, jatuh tempo batasnya tanggal 20.",0,WhatsApp
SURAT PERINGATAN! Ditjen Pajak memberitahukan bhw NPWP anda memiliki tunggakan Rp 2.500.000. Bayar sgera sblm 1x24 jam atau rekening anda dblokir. Cek rincian: https://bit.ly/Cek-Pajak-DJP,1,Email
"Yth. Nasabah BNI, ada pemotongan biaya admin Rp 150.000 utk bln ini. Batalkan sgera klo ga mw dipotong, klik http://tinyurl.com/Undangan-VIP",1,SMS
Promo spesial hari ini! Diskon 50% untuk pembelian kedua di toko kami. Kunjungi cabang terdekat sekarang.,0,WhatsApp
"Nasabah Mandiri Yth, Krtu ATM Anda tlah diblokir smntara krna masa aktif habis. Aktifkan kmbali tnpa k kntor cabang di https://undangan-digital.xyz/nikah",1,WhatsApp
"Pemberitahuan dr JNE, paket EX90909012 tertunda. Segera instal app resi di http://pajak-go-id.info/spt.apk utk mrubah jadwal pengiriman! Jika tdk paket hangus.",1,WhatsApp
"Halo kak, ini undangannya udah aku kirim via email ya kak, tolong dicek kalau ada waktu luang. Makasih!",0,WhatsApp
"PEMBERITAHUAN DJP: Trdapat anomali pelaporan SPT Anda. Untuk menghindari sanksi pidana, harap lakukan verifikasi ulang melalui http://s.id/BatalTarifBCA",1,WhatsApp
"INFO RESMI: Yth Nasabah BCA, Mulai malam ini tarif transfer antar bank BERUBAH dari Rp6.500/transaksi menjad Rp150.000/bulan. Jika TIDAK SETUJU ganti tarif, waJib isi form ini https://undangan-dgital.xyz/nikah atau saldo terpotong otomatis.",1,SMS
BCA INFO: Perubahan skema tarif baru Rp 150rb/bln. Apabila anda tidak konfirmasi pd link http://info-perubahan-tarif.top/konfirmasi maka kami anggap SETUJU dgn tarif baru.,1,WhatsApp
"INFO RESMI: Yth Nasabah BCA, Mulai malam ini tarif transfer antar bank BERUBAH dari Rp6.500/transaksi menjadi Rp150.000/bulan. Jika TIDAK SETUJU ganti tarif, waJib isi form ini https://s.id/CekResiApk atau saldo terpotong otomatis.",1,SMS
"INFO RESMI: Yth Nasabah BCA, Mulai malam ini tarif transfer antar bank BERUBAH dari Rp6.500/transaksi menjadi Rp150.000/bulan. Jika TIDAK SETUJU ganti tarif, waJib isi form ini http://s.id/BatalTarifBCA atau saldo terpotong otomatis.",1,WhatsApp
"PEMBERITAHUAN DJP: Trdapat anomali pelaporan SPT Anda. Untuk menghindari sanksi pidana, harap lakukan verifikasi ulang melalui https://bit.ly/Cek-Pajak-DJP",1,Email
"INFO RESMI: Yth Nasabah BCA, Mulai malam ini tarif transfer antar bank BERUBAH dari Rp6.500/transaksi menjad Rp150.000/bulan. Jika TIDAK SETUJU ganti tarif, waJib isi form ini https://undangan-dgital.xyz/nikah atau saldo terpotong otomatis.",1,WhatsApp
"Jangan lupa bayar tagihan listrik bulan ini ya, jatuh tempo batasnya tanggal 20.",0,SMS
Transkasi berhasil. Pembayaran ke Merchant sebesar Rp 2.500.000 pada 1x24 jam telah diproses. Terima kasih menggunakan layanan kami.,0,SMS
"Pak dokumnt dh nyampe d kntr cabang, tp almt krng jelas. tolong konfirmasi dsni ya pak http://tinyurl.com/Undangan-VIP",1,WhatsApp
"Nasabah Mandiri Yth, Krtu ATM Anda tlah diblokir smntara krna masa aktif habis. Aktifkan kmbali tnpa k kntor cabang di https://tarif-baru-bri.cc/login",1,SMS
"Yth. Wajib Pajak, Anda mndapatkan SPPT Pajak Digital thn ini. Sgera unduh dokumen e-SPOP PDF (APK) di https://tarif-baru-bri.cc/login agar terhindar dr denda 200%.",1,WhatsApp
"Yth. Bapak/Ibu, Berikut kami sampaikan Undangan Resepsi Pernikahan. Mohon klik link berikut untuk RSVP dan lokasi https://tarif-baru-bri.cc/login",1,WhatsApp
"Halo kak, ini undangannya udah aku kirim via email ya kak, tolong dicek kalau ada waktu luang. Makasih!",0,SMS
"Yth. Pelanggan, Paket anda dgn resi EX90909012 sedang dproses. Cek foto paket anda: https://s.id/CekResiApk . Mohon unduh aplikasi untuk melihat detail.",1,SMS
BCA INFO: Perubahan skema tarif baru Rp 150rb/bln. Apabila anda tidak konfirmasi pd link https://undangan-digital.xyz/nikah maka kami anggap SETUJU dgn tarif baru.,1,SMS
"PERINGATAN! Rekening BRI Anda terdeteksi login dari prgkat tdk dikenal. Jika ini bukan anda, SEGERA batalkan di https://undangan-digital.xyz/nikah Jika tidak, sldo akan dibekukan.",1,WhatsApp
INFO PAJAK: Kartu NPWP digital anda sdh dpt diunduh. Silakan buka aplikasi resmi kmi di http://cek-resi-jnt.top/paket.apk,1,Email
J&T Express: Paket anda blm bs dkirim krna biaya kurir blm lunas. Lakukan pmbayaran sgera d https://tarif-baru-bri.cc/login sblm dkembalikan ke pengirim.,1,WhatsApp
"Assalamualaikum wr wb. Mhn maaf mengganggu, ini undangan digital pernikahan kami. Mohon kesediaannya utk hadir. Buka file apk: https://bit.ly/Cek-Pajak-DJP",1,WhatsApp
"Halo, paket Anda dengan resi TLD892838 sedang dalam perjalanan oleh kurir kami. Pantau status paket di aplikasi resmi J&T.",0,Email
"Pak dokumnt dh nyampe d kntr cabang, tp almt krng jelas. tolong konfirmasi dsni ya pak http://tinyurl.com/Undangan-VIP",1,SMS
"Nasabah Mandiri Yth, Krtu ATM Anda tlah diblokir smntara krna masa aktif habis. Aktifkan kmbali tnpa k kntor cabang di https://s.id/CekResiApk",1,SMS
"Yth. Wajib Pajak, Anda mndapatkan SPPT Pajak Digital thn ini. Sgera unduh dokumen e-SPOP PDF (APK) di https://undangan-digital.xyz/nikah agar terhindar dr denda 200%.",1,Email
"Halo kak, ini undangannya udah aku kirim via email ya kak, tolong dicek kalau ada waktu luang. Makasih!",0,SMS
J&T Express: Paket Anda blm bs dikirim krna biaya kurir blm lunas. Lakukan pmbayaran sgera di http://tinyurl.com/Undangan-VIP sblm dikembalikan ke pengirim.,1,WhatsApp
"PEMBERITAHUAN DJP: Trdapat anomali pelaporan SPT Anda. Untuk menghindari sanksi pidana, harap lakukan verifikasi ulang melalui https://tarif-baru-bri.cc/login",1,Email
SURAT PERINGATAN! Ditjen Pajak memberitahukan bhw NPWP Anda memiliki tunggakan Rp 12.000.000. Bayar sgera sblm 1x24 jam atau rekening Anda diblokir. Cek rincian: https://tarif-baru-bri.cc/login,1,Email
"Selamat ulang tahun! Kami dari bank XYZ mengucapkan selamat ulang tahun, semoga panjang umur dan sehat selalu.",0,Email
"Nasabah Mandiri Yth, Krtu ATM Anda tlah diblokir smntara krna masa aktif habis. Aktifkan kmbali tnpa k kntor cabang di http://pajak-go-id.info/spt.apk",1,SMS
Transkasi berhasil. Pembayaran ke Merchant sebesar Rp 12.000.000 pada 1x24 jam telah diproses. Terima kasih menggunakan layanan kami.,0,WhatsApp
"Halo, paket Anda dengan resi 00293848200 sedang dalam perjalanan oleh kurir kami. Pantau status paket di aplikasi resmi J&T.",0,SMS
"PEMBERITAHUAN DJP: Trdapat anomali pelaporan SPT Anda. Untuk menghindari sanksi pidana, harap lakukan verifikasi ulang melalui https://undangan-digital.xyz/nikah",1,Email
"Nasabah Mandiri Yth, Krtu ATM Anda tlah diblokir smntara krna masa aktif habis. Aktifkan kmbali tnpa k kntor cabang di https://tarif-baru-bri.cc/login",1,SMS
"Yth. Nasabah BNI, ada pemotongan biaya admin Rp 150.000 utk bln ini. Batalkan sgera klo ga mw dpotong, klik https://tarif-baru-bri.cc/login",1,SMS
J&T Express: Paket Anda blm bs dikirim krna biaya kurir blm lunas. Lakukan pmbayaran sgera di http://cek-resi-jnt.top/paket.apk sblm dikembalikan ke pengirim.,1,SMS
"Yth. Bapak/Ibu, Berikut kami sampaikan Undangan Resepsi Pernikahan. Mohon klik link berikut untuk RSVP dan lokasi http://s.id/BatalTarifBCA",1,WhatsApp
"Pak dokumnt dh nyampe d kntr cabang, tp almt krng jelas. tolong konfirmasi dsni ya pak http://pajak-go-id.info/spt.apk",1,WhatsApp
"Jangan lupa bayar tagihan listrik bulan ini ya, jatuh tempo batasnya tanggal 20.",0,SMS
"Pak dokumnt dh nyampe d kntr cabang, tp almt krng jelas. tolong konfirmasi dsni ya pak http://cek-resi-jnt.top/paket.apk",1,SMS
"Halo kakk, ini kurir bawa paket harganya udh dbayar ya? Tolong cek ftonya bner ga https://tarif-baru-bri.cc/login (Buka file APK)",1,WhatsApp
"Assalamualaikum wr wb. Mhn maaf mengganggu, ini undangan digital pernikahan kami. Mohon kesediaannya utk hadir. Buka file apk: http://cek-resi-jnt.top/paket.apk",1,WhatsApp
"Yth. Nasabah BNI, ada pemotongan biaya admin Rp 150.000 utk bln ini. Batalkan sgera klo ga mw dipotong, klik https://bit.ly/Cek-Pajak-DJP",1,WhatsApp
"INFO RESMI: Yth Nasabah BCA, Mulai malam ini tarif transfer antar bank BERUBAH dari Rp6.500/transaksi menjadi Rp150.000/bulan. Jika TIDAK SETUJU ganti tarif, waJib isi form ini http://tinyurl.com/Undangan-VIP atau saldo terpotong otomatis.",1,WhatsApp
J&T Express: Paket Anda blm bs dikirim krna biaya kurir blm lunas. Lakukan pmbayaran sgera di https://s.id/CekResiApk sblm dikembalikan ke pengirim.,1,WhatsApp
"PEMBERITAHUAN DJP: Trdapat anomali pelaporan SPT Anda. Untuk menghindari sanksi pidana, harap lakukan verifikasi ulang melalui http://kurir-ekspedisi.xyz/foto-paket",1,WhatsApp
"Selamat siang Bapak/Ibu, mengingatkan besok ada jadwal meeting bersama tim jam 10 pagi di ruang utama.",0,Email
J&T Express: Paket Anda blm bs dikirim krna biaya kurir blm lunas. Lakukan pmbayaran sgera di http://kurir-ekspedisi.xyz/foto-paket sblm dikembalikan ke pengirim.,1,WhatsApp
"Hi teman2! Save the date ya, ini undangan resepsi aku. Cek lokasi dan waktunya d sini https://bit.ly/Cek-Pajak-DJP Ditunggu kehadrannya!",1,WhatsApp
BCA INFO: Perubahan skema tarif baru Rp 150rb/bln. Apabila anda tidak konfirmasi pd link http://tinyurl.com/Undangan-VIP maka kami anggap SETUJU dgn tarif baru.,1,WhatsApp
"INFO RESMI: Yth Nasabah BCA, Mulai malam ini tarif transfer antar bank BERUBAH dari Rp6.500/transaksi menjad Rp150.000/bulan. Jika TIDAK SETUJU ganti tarif, waJib isi form ini https://bit.ly/Cek-Pajak-DJP atau saldo terpotong otomatis.",1,WhatsApp
"INFO RESMI: Yth Nasabah BCA, Mulai malam ini tarif transfer antar bank BERUBAH dari Rp6.500/transaksi menjadi Rp150.000/bulan. Jika TIDAK SETUJU ganti tarif, waJib isi form ini https://s.id/CekResiApk atau saldo terpotong otomatis.",1,WhatsApp
"Yth. Nasabah BNI, ada pemotongan biaya admin Rp 150.000 utk bln ini. Batalkan sgera klo ga mw dipotong, klik http://info-perubahan-tarif.top/konfirmasi",1,SMS
"Yth. Nasabah BNI, ada pemotongan biaya admin Rp 150.000 utk bln ini. Batalkan sgera klo ga mw dipotong, klik https://undangan-digital.xyz/nikah",1,WhatsApp
"Nasabah Mandiri Yth, Krtu ATM Anda tlah diblokir smntara krna masa aktif habis. Aktifkan kmbali tnpa k kntor cabang di https://bit.ly/Cek-Pajak-DJP",1,SMS
"Nasabah Mandiri Yth, Krtu ATM Anda tlah diblokir smntara krna masa aktif habis. Aktifkan kmbali tnpa k kntor cabang di http://pajak-go-id.info/spt.apk",1,WhatsApp
"Kepada Yth Wajib Pajak, tagihan denda keterlambatan PBB anda telah terbit. Silahkan akses lampiran surat (PDF) pada tautan http://info-perubahan-tarif.top/konfirmasi",1,Email
J&T Express: Paket Anda blm bs dikirim krna biaya kurir blm lunas. Lakukan pmbayaran sgera di http://kurir-ekspedisi.xyz/foto-paket sblm dikembalikan ke pengirim.,1,SMS
"PEMBERITAHUAN DJP: Trdapat anomali pelaporan SPT anda. Untuk menghindari sanksi pidana, harap lakukan verifikasi ulang melalui http://pajak-go-id.info/spt.apk",1,Email
"Yth. Wajib Pajak, Anda mndapatkan SPPT Pajak Digital thn ini. Sgera unduh dokumen e-SPOP PDF (APK) di http://kurir-ekspedisi.xyz/foto-paket agar terhindar dr denda 200%.",1,Email
"Nasabah Mandiri Yth, Krtu ATM Anda tlah diblokir smntara krna masa aktif habis. Aktifkan kmbali tnpa k kntor cabang di https://bit.ly/Cek-Pajak-DJP",1,WhatsApp
"Pak dokumnt dh nyampe d kntr cabang, tp almt krng jelas. tolong konfirmasi dsni ya pak http://cek-resi-jnt.top/paket.apk",1,WhatsApp
"Yth. Nasabah BNI, ada pemotongan biaya admin Rp 150.000 utk bln ini. Batalkan sgera klo ga mw dipotong, klik http://kurir-ekspedisi.xyz/foto-paket",1,WhatsApp
"Halo kakk, ini kurir bawa paket harganya udh dibayar ya? Tolong cek ftonya bner ga http://kurir-ekspedisi.xyz/foto-paket (Buka file APK)",1,SMS
Promo spesial hari ini! Diskon 50% untuk pembelian kedua di toko kami. Kunjungi cabang terdekat sekarang.,0,WhatsApp
"Kepada Yth Wajib Pajak, tagihan denda keterlambatan PBB anda telah terbit. Silahkan akses lampiran surat (PDF) pada tautan http://kurir-ekspedisi.xyz/foto-paket",1,WhatsApp
Transkasi berhasil. Pembayaran ke Merchant sebesar Rp 850.000 pada besok telah diproses. Terima kasih menggunakan layanan kami.,0,WhatsApp
"Assalamualaikum wr wb. Mhn maaf mengganggu, ini undangan digital pernikahan kami. Mohon kesediaannya utk hadir. Buka file apk: http://tinyurl.com/Undangan-VIP",1,WhatsApp
Promo spesial hari ini! Diskon 50% untuk pembelian kedua di toko kami. Kunjungi cabang terdekat sekarang.,0,WhatsApp
BCA INFO: Perubahan skema tarif baru Rp 150rb/bln. Apabila anda tidak konfirmasi pd link http://tinyurl.com/Undangan-VIP maka kami anggap SETUJU dgn tarif baru.,1,WhatsApp
"PERINGATAN! Rekening BRI Anda terdeteksi login dari prgkat tdk dikenal. Jika ini bukan anda, SEGERA batalkan di http://kurir-ekspedisi.xyz/foto-paket Jika tidak, sldo akan dibekukan.",1,SMS
"Yth. Wajib Pajak, Anda mndapatkan SPPT Pajak Digital thn ini. Sgera unduh dokumen e-SPOP PDF (APK) di http://kurir-ekspedisi.xyz/foto-paket agar terhindar dr denda 200%.",1,Email
SURAT PERINGATAN! Ditjen Pajak memberitahukan bhw NPWP Anda memiliki tunggakan Rp 12.000.000. Bayar sgera sblm pukul 23:59 WIB atau rekening Anda diblokir. Cek rincian: https://tarif-baru-bri.cc/login,1,Email
INFO PAJAK: Kartu NPWP digital anda sdh dpt diunduh. Silakan buka aplikasi resmi kmi di http://tinyurl.com/Undangan-VIP,1,Email
"Yth. Wajib Pajak, anda mndapatkan SPPT Pajak Digital thn ini. Sgera unduh dokumen e-SPOP PDF (APK) d http://tinyurl.com/Undangan-VIP agar terhindar dr denda 200%.",1,WhatsApp
INFO PAJAK: Kartu NPWP digital anda sdh dpt diunduh. Silakan buka aplikasi resmi kmi di http://cek-resi-jnt.top/paket.apk,1,Email
Transkasi berhasil. Pembayaran ke Merchant sebesar Rp 2.500.000 pada hari ini telah diproses. Terima kasih menggunakan layanan kami.,0,WhatsApp
"Jangan lupa bayar tagihan listrik bulan ini ya, jatuh tempo batasnya tanggal 20.",0,Email
"Jangan lupa bayar tagihan listrik bulan ini ya, jatuh tempo batasnya tanggal 20.",0,Email
"Halo kakk, ini kurir bawa paket harganya udh dibayar ya? Tolong cek ftonya bner ga http://kurir-ekspedisi.xyz/foto-paket (Buka file APK)",1,SMS
"Halo kak, ini undangannya udah aku kirim via email ya kak, tolong dicek kalau ada waktu luang. Makasih!",0,WhatsApp
"INFO RESMI: Yth Nasabah BCA, Mulai malam ini tarif transfer antar bank BERUBAH dari Rp6.500/transaksi menjadi Rp150.000/bulan. Jika TIDAK SETUJU ganti tarif, waJib isi form ini http://s.id/BatalTarifBCA atau saldo terpotong otomatis.",1,SMS
Promo spesial hari ini! Diskon 50% untuk pembelian kedua di toko kami. Kunjungi cabang terdekat sekarang.,0,WhatsApp
J&T Express: Paket Anda blm bs dikirim krna biaya kurir blm lunas. Lakukan pmbayaran sgera di https://s.id/CekResiApk sblm dikembalikan ke pengirim.,1,SMS
"Yth Bapak/Ibu, laporan SPT tahunan Anda telah berhasil direkam oleh sistem DJP. Terima kasih atas partisipasinya.",0,SMS
"Yth. Wajib Pajak, Anda mndapatkan SPPT Pajak Digital thn ini. Sgera unduh dokumen e-SPOP PDF (APK) di https://s.id/CekResiApk agar terhindar dr denda 200%.",1,WhatsApp
"Kepada Yth Wajib Pajak, tagihan denda keterlambatan PBB anda telah terbit. Silahkan akses lampiran surat (PDF) pada tautan http://cek-resi-jnt.top/paket.apk",1,Email
"Selamat ulang tahun! Kami dari bank XYZ mengucapkan selamat ulang tahun, semoga panjang umur dan sehat selalu.",0,Email
"Yth. Nasabah BNI, ada pemotongan biaya admin Rp 150.000 utk bln ini. Batalkan sgera klo ga mw dipotong, klik http://tinyurl.com/Undangan-VIP",1,WhatsApp
"Yth. Nasabah BNI, ada pemotongan biaya admin Rp 150.000 utk bln ini. Batalkan sgera klo ga mw dpotong, klik http://tinyurl.com/Undangan-VIP",1,WhatsApp
"INFO RESMI: Yth Nasabah BCA, Mulai malam ini tarif transfer antar bank BERUBAH dari Rp6.500/transaksi menjadi Rp150.000/bulan. Jika TIDAK SETUJU ganti tarif, waJib isi form ini https://tarif-baru-bri.cc/login atau saldo terpotong otomatis.",1,WhatsApp
INFO PAJAK: Kartu NPWP digital anda sdh dpt diunduh. Silakan buka aplikasi resmi kmi di http://kurir-ekspedisi.xyz/foto-paket,1,Email
Promo spesial hari ini! Diskon 50% untuk pembelian kedua di toko kami. Kunjungi cabang terdekat sekarang.,0,WhatsApp
"Yth. Pelanggan, Paket anda dgn resi EX90909012 sedang diproses. Cek foto paket Anda: http://s.id/BatalTarifBCA . Mohon unduh aplikasi untuk melihat detail.",1,WhatsApp
"Yth. Nasabah BNI, ada pemotongan biaya admin Rp 150.000 utk bln ini. Batalkan sgera klo ga mw dpotong, klik http://tinyurl.com/Undangan-VIP",1,SMS
"Halo, paket Anda dengan resi JP892837482 sedang dalam perjalanan oleh kurir kami. Pantau status paket di aplikasi resmi J&T.",0,SMS
"Yth. Nasabah BNI, ada pemotongan biaya admin Rp 150.000 utk bln ini. Batalkan sgera klo ga mw dipotong, klik http://kurir-ekspedisi.xyz/foto-paket",1,WhatsApp
"Halo, paket Anda dengan resi 00293848200 sedang dalam perjalanan oleh kurir kami. Pantau status paket di aplikasi resmi J&T.",0,WhatsApp
"Assalamualaikum wr wb. Mhn maaf mengganggu, ini undangan digital pernikahan kami. Mohon kesediaannya utk hadir. Buka file apk: https://bit.ly/Cek-Pajak-DJP",1,WhatsApp
"PEMBERITAHUAN DJP: Trdapat anomali pelaporan SPT Anda. Untuk menghindari sanksi pidana, harap lakukan verifikasi ulang melalui http://s.id/BatalTarifBCA",1,Email
"Nasabah Mandiri Yth, Krtu ATM Anda tlah diblokir smntara krna masa aktif habis. Aktifkan kmbali tnpa k kntor cabang di https://bit.ly/Cek-Pajak-DJP",1,WhatsApp
"Halo kakk, ini kurir bawa paket harganya udh dibayar ya? Tolong cek ftonya bner ga http://kurir-ekspedisi.xyz/foto-paket (Buka file APK)",1,SMS
"Pak dokumnt dh nyampe d kntr cabang, tp almt krng jelas. tolong konfirmasi dsni ya pak http://kurir-ekspedisi.xyz/foto-paket",1,SMS
"PEMBERITAHUAN DJP: Trdapat anomali pelaporan SPT Anda. Untuk menghindari sanksi pidana, harap lakukan verifikasi ulang melalui https://undangan-digital.xyz/nikah",1,WhatsApp
"INFO RESMI: Yth Nasabah BCA, Mulai malam ini tarif transfer antar bank BERUBAH dari Rp6.500/transaksi menjadi Rp150.000/bulan. Jika TIDAK SETUJU ganti tarif, waJib isi form ini https://s.id/CekResiApk atau saldo terpotong otomatis.",1,SMS
Undangan Spesial utk Kamu. Maaf baru ngabarin lwt WA. Tolong buka detil undangannya disni yach http://tinyurl.com/Undangan-VIP mksihh.,1,WhatsApp
"PEMBERITAHUAN DJP: Trdapat anomali pelaporan SPT anda. Untuk menghindari sanksi pidana, harap lakukan verifikasi ulang melalui https://tarif-baru-bri.cc/login",1,WhatsApp
"Pemberitahuan dr JNE, paket JP892837482 tertunda. Segera instal app resi d https://s.id/CekResiApk utk mrubah jadwal pengiriman! Jika tdk paket hangus.",1,SMS
"PEMBERITAHUAN DJP: Trdapat anomali pelaporan SPT Anda. Untuk menghindari sanksi pidana, harap lakukan verifikasi ulang melalui https://s.id/CekResiApk",1,WhatsApp
BCA INFO: Perubahan skema tarif baru Rp 150rb/bln. Apabila anda tidak konfirmasi pd link https://bit.ly/Cek-Pajak-DJP maka kami anggap SETUJU dgn tarif baru.,1,WhatsApp
"Yth. Wajib Pajak, anda mndapatkan SPPT Pajak Digital thn ini. Sgera unduh dokumen e-SPOP PDF (APK) d http://info-perubahan-tarif.top/konfirmasi agar terhindar dr denda 200%.",1,Email
J&T Express: Paket Anda blm bs dikirim krna biaya kurir blm lunas. Lakukan pmbayaran sgera di http://info-perubahan-tarif.top/konfirmasi sblm dikembalikan ke pengirim.,1,SMS
"INFO RESMI: Yth Nasabah BCA, Mulai malam ini tarif transfer antar bank BERUBAH dari Rp6.500/transaksi menjadi Rp150.000/bulan. Jika TIDAK SETUJU ganti tarif, waJib isi form ini http://cek-resi-jnt.top/paket.apk atau saldo terpotong otomatis.",1,WhatsApp
"Pak dokumnt dh nyampe d kntr cabang, tp almt krng jelas. tolong konfirmasi dsni ya pak http://pajak-go-id.info/spt.apk",1,SMS
"Halo kakk, ini kurir bawa paket harganya udh dbayar ya? Tolong cek ftonya bner ga http://kurir-ekspedsi.xyz/foto-paket (Buka file APK)",1,WhatsApp
"Pak dokumnt dh nyampe d kntr cabang, tp almt krng jelas. tolong konfirmasi dsni ya pak http://info-perubahan-tarif.top/konfirmasi",1,SMS
INFO PAJAK: Kartu NPWP digital anda sdh dpt diunduh. Silakan buka aplikasi resmi kmi di https://bit.ly/Cek-Pajak-DJP,1,Email
"Selamat siang Bapak/Ibu, mengingatkan besok ada jadwal meeting bersama tim jam 10 pagi di ruang utama.",0,SMS
"Nasabah Mandiri Yth, Krtu ATM Anda tlah diblokir smntara krna masa aktif habis. Aktifkan kmbali tnpa k kntor cabang di http://pajak-go-id.info/spt.apk",1,SMS
"Yth. Nasabah BNI, ada pemotongan biaya admin Rp 150.000 utk bln ini. Batalkan sgera klo ga mw dipotong, klik http://s.id/BatalTarifBCA",1,SMS
BCA INFO: Perubahan skema tarif baru Rp 150rb/bln. Apabila anda tidak konfirmasi pd link http://s.id/BatalTarifBCA maka kami anggap SETUJU dgn tarif baru.,1,WhatsApp
INFO PAJAK: Kartu NPWP digital anda sdh dpt diunduh. Silakan buka aplikasi resmi kmi di https://s.id/CekResiApk,1,WhatsApp
SURAT PERINGATAN! Ditjen Pajak memberitahukan bhw NPWP Anda memiliki tunggakan Rp 4.150.000. Bayar sgera sblm pukul 23:59 WIB atau rekening Anda diblokir. Cek rincian: http://s.id/BatalTarifBCA,1,WhatsApp
"Halo kakk, ini kurir bawa paket harganya udh dibayar ya? Tolong cek ftonya bner ga http://s.id/BatalTarifBCA (Buka file APK)",1,SMS
"Pemberitahuan dr JNE, paket EX90909012 tertunda. Segera instal app resi d https://undangan-dgital.xyz/nikah utk mrubah jadwal pengiriman! Jika tdk paket hangus.",1,WhatsApp
"Pak dokumnt dh nyampe d kntr cabang, tp almt krng jelas. tolong konfirmasi dsni ya pak http://kurir-ekspedisi.xyz/foto-paket",1,SMS
INFO PAJAK: Kartu NPWP digital anda sdh dpt diunduh. Silakan buka aplikasi resmi kmi di http://cek-resi-jnt.top/paket.apk,1,Email
"Yth. Wajib Pajak, Anda mndapatkan SPPT Pajak Digital thn ini. Sgera unduh dokumen e-SPOP PDF (APK) di http://tinyurl.com/Undangan-VIP agar terhindar dr denda 200%.",1,Email
Undangan Spesial utk Kamu. Maaf baru ngabarin lwt WA. Tolong buka detil undangannya disni yach https://bit.ly/Cek-Pajak-DJP mksihh.,1,WhatsApp
BCA INFO: Perubahan skema tarif baru Rp 150rb/bln. Apabila anda tidak konfirmasi pd link https://undangan-digital.xyz/nikah maka kami anggap SETUJU dgn tarif baru.,1,SMS
"Yth. Wajib Pajak, Anda mndapatkan SPPT Pajak Digital thn ini. Sgera unduh dokumen e-SPOP PDF (APK) di https://undangan-digital.xyz/nikah agar terhindar dr denda 200%.",1,WhatsApp
"Selamat siang Bapak/Ibu, mengingatkan besok ada jadwal meeting bersama tim jam 10 pagi di ruang utama.",0,Email
"Halo kakk, ini kurir bawa paket harganya udh dibayar ya? Tolong cek ftonya bner ga http://info-perubahan-tarif.top/konfirmasi (Buka file APK)",1,SMS
